countries,decision
US/AU/PE/NZ/SG/CL/MX,propose
VN/MY/BN/JP,oppose
NZ/MX,oppose
PE,oppose
NZ/MX,none
PE/AU/NZ/CA/SG/CL/MX/JP,oppose
NZ/MX,oppose
NZ/MX,oppose
US/AU/PE/SG/CL/MX,propose
VN/BN/NZ/MY/CA/JP,oppose
MX,propose
MX,oppose
US,propose
CL,oppose
AU/PE/SG/CL,propose
MX,propose
US,propose
CL,oppose
SG/PE/AU/CL,propose
US,propose
CL,oppose
AU/PE/SG/CL,propose
NZ/BN/MY/VN/CA/JP,propose
US/AU/SG/MX,oppose
PE/SG/NZ/BN/US/VN/CL/MY/MX,none
CA,oppose
CA,propose
US,oppose
CA/JP/SG/BN/NZ/PE/CL/VN/AU,propose
SG/BN/NZ/MY/VN/CL,oppose
BN/SG/MY/VN/NZ/CL,oppose
CL,none
US/AU/SG/PE/MX,propose
MY/VN/BN/JP,oppose
CL,oppose
CL,oppose
CL,propose
PE/CA/CL,oppose
CL,oppose
CA/CL,propose
CL,oppose
PE/SG/CL,oppose
CA,oppose
CL,propose
CA/CL,propose
CA/CL,oppose
CA,propose
CA,oppose
CL,oppose
CA,propose
SG/AU/PE/CL,oppose
CL,propose
CL,oppose
CL,oppose
CL,propose
CL,oppose
CA,oppose
CA,propose
CA,oppose
CL,oppose
CL,propose
CL,oppose
CA,propose
CA,oppose
CA,propose
CA,oppose
CA,propose
CA,propose
CA,propose
CA,oppose
SG,oppose
SG,oppose
CL,propose
PE,oppose
PE,propose
CL,propose
SG,oppose
AU/PE,oppose
SG,propose
AU/PE,propose
CA,propose
CL,oppose
CL,oppose
CL,propose
CA,propose
PE/CL/CA,oppose
CA,oppose
CA,propose
CL,propose
SG/CL,propose
CL/NZ/PE/VN/MY/BN/JP,propose
AU/US,oppose
PE/SG,oppose
VN,propose
VN,oppose
NZ,oppose
NZ,oppose
PE/SG,none
VN,oppose
VN,none
VN,oppose
VN,none
CA,oppose
CA,propose
VN,oppose
VN,none
CA/JP,propose
MY/BN/VN/CA/JP,oppose
CA,propose
CL/NZ/MY/SG/VN,oppose
CA/JP,propose
VN,oppose
VN,none
VN,oppose
CA/MX/JP,propose
CA/MX,oppose
CA,propose
MY,none
MY/CA,oppose
CL,oppose
CA,propose
CL,none
CA,oppose
CA,propose
MY/CA,propose
AU/SG/PE/CL/MY/NZ/BN/CA/MX/JP,oppose
SG/NZ/CL/MY/BN/VN/CA/JP,oppose
MX,propose
MX,oppose
AU/MY/CA/JP,propose
NZ/MY,oppose
NZ/MY,oppose
NZ/MY,oppose
AU/MY/CA/JP,none
NZ/MY,oppose
AU/MY/CA/JP,none
CA,propose
NZ/MY,oppose
NZ/MY,oppose
NZ/BN/MY,oppose
NZ/BN/MY,oppose
NZ/BN/MY,oppose
NZ/BN/MY,oppose
US/AU/PE/NZ/MY/BN/VN/CL/MX/SG,propose
CA,oppose
NZ,oppose
BN,oppose
NZ,oppose
NZ,oppose
US/CL/PE/MX/SG/MY/NZ/AU/VN/BN,propose
SG/VN/BN,oppose
CL/PE/MX,oppose
US/AU/SG/CL/PE/VN/MY,propose
CL/PE,oppose
CA,propose
CA,propose
VN,propose
CL/MY,propose
CL,propose
US/MY/SG/CA/PE/BN/MX/VN,propose
CL/NZ/MY,propose
CL/NZ/SG/MY/BN/VN/PE/MX,propose
AU/US,oppose
CA,propose
CL/SG/CA/BN/PE/MX/VN,propose
CL/VN/PE/AU/MY/BN/NZ/SG/MX/CA,propose
US/SG,propose
BN/VN/PE/MY/NZ/MX/CA,oppose
US/CA,propose
CL/VN/BN/AU/MX/CA/SG/PE/NZ,propose
CA,oppose
CA,propose
US/BN/MY/NZ/SG/CA,propose
AU/PE/CL/VN/MX,oppose
BN/MY,oppose
BN/SG/MY,oppose
SG/BN/MY/CA,propose
MY,oppose
MY/CA,propose
VN/SG/BN/MY/CA,oppose
US/AU/PE/NZ/CL/MX/CA/JP/SG/BN/VN,propose
MY,propose
PE,oppose
SG/PE/AU/NZ/MY/CL/CA/MX/BN/VN,oppose
US/CA/BN/AU/JP/MX/NZ/PE/VN,propose
VN,propose
CL/PE/BN/VN,propose
US/NZ,oppose
US,propose
NZ/MY/BN/JP,propose
VN,oppose
CL,e
US,propose
SG/PE/VN/CA/CL/NZ/MY/BN/AU/MX/JP,oppose
PE,oppose
CA,propose
PE,propose
CA/MX/US,propose
CA/MX/US,oppose
VN,propose
VN,propose
VN,propose
VN,none
VN,propose
MX,oppose
US/AU/SG,propose
BN/VN/MX/JP,oppose
US/SG,propose
NZ/AU/MY,oppose
AU/NZ/PE,propose
NZ,propose
US/AU/SG/NZ/MY/CL/CA,propose
US,propose
AU/SG/NZ/MY/CL/CA,propose
MY,oppose
CA,propose
CA,oppose
MY,oppose
NZ/CA/SG/CL/MY,propose
VN/PE,none
SG/BN/MY/VN/CA,oppose
CA/NZ/MX/US/PE/AU,oppose
CA/NZ/MX/US/PE/AU,propose
SG/VN,oppose
SG/VN,propose
US/CA/JP/MX,propose
CL/SG/VN,oppose
US/AU/CA/JP/NZ,propose
MX,none
PE/CL/MY/SG/VN/BN,oppose
NZ,oppose
NZ,propose
NZ,propose
BN/SG/MY/VN/CA,oppose
CA/VN,propose
MY/CA/BN/PE/VN,oppose
MY/CA/PE,none
BN/SG/VN,propose
US/VN,propose
SG/VN,oppose
SG/VN,propose
US/PE/AU/SG/MY/CL/CA/BN/JP,propose
NZ/VN/MX,oppose
AU,propose
MY/CL/AU/PE/BN,oppose
CL/AU/PE,propose
SG,oppose
AU/MY/SG/CA/BN/CL,oppose
PE,oppose
PE/SG/MY/CL/CA/BN,oppose
AU,oppose
US,propose
US,oppose
SG/PE/MY/CA/BN,oppose
VN,propose
VN,oppose
VN,propose
US/AU/SG/PE,propose
CL/VN/MY/NZ/CA/BN/MX,oppose
AU/SG/PE/JP,oppose
AU/SG/PE/CA/JP,oppose
SG/MX/BN/MY/VN,oppose
VN,oppose
US,propose
AU/BN/MY/NZ/SG/CL/VN/PE/CA/MX/JP,oppose
NZ/AU/BN/MY/US/CA/SG/MX/JP,propose
PE/CL/VN,oppose
US,propose
CA/JP,oppose
AU/NZ/SG/MY,none
CA/US,propose
PE/VN/BN/MX/CL,oppose
US/CA,propose
US/CA,oppose
SG/NZ/CL,oppose
SG/NZ/CL/JP,none
US/CA,oppose
US/CA,propose
MY,none
US,propose
CA/JP,oppose
US/CA,propose
JP,propose
US/CA,oppose
CA,oppose
CA/JP,propose
VN,propose
MY,oppose
VN,oppose
VN,oppose
CA/VN/MX,propose
CA/VN/MX,oppose
CL/PE/VN/BN/SG/AU/CA/MX/JP,oppose
MY,oppose
MY/SG/CL/AU/PE/MX/VN/JP,none
US/NZ,propose
BN/SG/MY/CL/PE/AU/VN/CA/MX/JP,oppose
US/NZ/PE/SG/BN/CL/AU/MY/CA/MX,propose
VN/JP,oppose
CL,propose
US/MX/CA/NZ/JP,propose
SG/MY/PE/VN/CL/AU/BN,oppose
CL/MX,propose
VN,propose
CL,none
CL/JP,oppose
CL,oppose
CL,propose
CL/VN/SG/PE/CA/MX,oppose
US/AU/NZ/PE/MY/SG/MX/VN/CA/CL,propose
BN/JP,oppose
VN,oppose
CA,propose
CL,oppose
PE/SG/MX/VN/CL/CA,oppose
PE/SG/MX/VN/CL/CA,oppose
US/AU/PE/NZ/MX/CL,propose
MY/BN/VN/CA,oppose
CL/MX,oppose
US/AU/CA/SG/NZ/PE,propose
VN,oppose
US/AU/CA/MY/VN/MX,propose
US/AU/CA/MX,propose
SG/CL/PE/NZ/MY/BN/VN,oppose
PE/CA,oppose
PE/CA,propose
PE/CL/BN/SG/NZ/MY/VN,oppose
US,propose
CL/BN/NZ/MY/VN/CA/SG/MX,propose
AU/US,oppose
CA,propose
CA,propose
CL/BN/NZ/VN/MX,propose
AU/US/SG/MY,oppose
CA,oppose
CA/CL/VN,propose
